Block,Old_Label,Label,Population,Genetic_Diversity,Generation_Parents,Generation_Eggs,Date_Census,Date_Start_Eggs,Date_End_Eggs,Image_Box1,Image_Box2,MC_Box1,MC_Box2,MC_Total_Adults,HC_Box1,HC_Box2,HC_Total_Adults,Nb_parents,Growth_rate,First_Throw,Extinction_finalstatus,Less_than_5
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High1,High1,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0155,NA,NA,NA,101.9,NA,NA,100,NA,NA,no,no,no
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High2,High2,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0156,NA,NA,NA,104.7,NA,NA,100,NA,NA,no,no,no
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High3,High3,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0157,NA,NA,NA,105.8,NA,NA,100,NA,NA,no,no,no
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High4,High4,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0158,NA,NA,NA,101.9,NA,NA,100,NA,NA,no,no,no
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High5,High5,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0159,NA,NA,NA,102.2,NA,NA,100,NA,NA,no,no,no
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High6,High6,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0160,NA,NA,NA,101.7,NA,NA,100,NA,NA,no,no,no
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High7,High7,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0161,NA,NA,NA,101.7,NA,NA,100,NA,NA,no,no,no
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High8,High8,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0162,NA,NA,NA,101.2,NA,NA,100,NA,NA,no,kill,kill
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High9,High9,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0163,NA,NA,NA,100.3,NA,NA,100,NA,NA,no,kill,kill
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High10,High10,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0164,NA,NA,NA,103.6,NA,NA,100,NA,NA,no,kill,kill
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High11,High11,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0165,NA,NA,NA,101.8,NA,NA,100,NA,NA,no,kill,kill
Block3,B3_All_Red_Mix ,BE B3 2/17 | G1  High12,High12,High,0,1,2/17/21,2/17/21,2/18/21,DSC_0166,NA,NA,NA,98.8,NA,NA,100,NA,NA,no,kill,kill
Block3,B(4)3_A2,BE B3 2/17 | G1  Low1,Low1,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0175,NA,NA,NA,101.5,NA,NA,100,NA,NA,no,no,no
Block3,B(4)3_B1,BE B3 2/17 | G1  Low2,Low2,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0181,NA,NA,NA,105.3,NA,NA,100,NA,NA,no,no,no
Block3,B(4)3_C2,BE B3 2/17 | G1  Low3,Low3,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0182,NA,NA,NA,101.2,NA,NA,100,NA,NA,no,no,no
Block3,B(4)3_E1,BE B3 2/17 | G1  Low4,Low4,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0183,NA,NA,NA,100.2,NA,NA,100,NA,NA,no,no,no
Block3,B(4)3_F5,BE B3 2/17 | G1  Low5,Low5,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0186,NA,NA,NA,98.2,NA,NA,100,NA,NA,no,no,no
Block3,B(4)3_G1,BE B3 2/17 | G1  Low6,Low6,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0176,NA,NA,NA,98.4,NA,NA,100,NA,NA,no,kill,kill
Block3,B3_A1 ,BE B3 2/17 | G1  Low7,Low7,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0184,NA,NA,NA,108.0,NA,NA,100,NA,NA,no,no,no
Block3,B3_B3 ,BE B3 2/17 | G1  Low8,Low8,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0177,NA,NA,NA,103.0,NA,NA,100,NA,NA,no,no,no
Block3,B3_C1 ,BE B3 2/17 | G1  Low9,Low9,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0178,NA,NA,NA,97.7,NA,NA,100,NA,NA,no,no,no
Block3,B3_D1 ,BE B3 2/17 | G1  Low10,Low10,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0179,NA,NA,NA,100.3,NA,NA,100,NA,NA,no,no,no
Block3,B3_E1 ,BE B3 2/17 | G1  Low11,Low11,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0180,NA,NA,NA,100.4,NA,NA,100,NA,NA,no,no,no
Block3,B3_F2 ,BE B3 2/17 | G1  Low12,Low12,Low,0,1,2/17/21,2/17/21,2/18/21,DSC_0185,NA,NA,NA,99.7,NA,NA,100,NA,NA,no,no,no
Block3,B3_Backup_Fam_A,BE B3 2/17 | G1  Med1,Med1,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0167,NA,NA,NA,103.4,NA,NA,100,NA,NA,no,no,no
Block3,B3_Backup_Fam_B,BE B3 2/17 | G1  Med2,Med2,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0168,NA,NA,NA,95.9,NA,NA,100,NA,NA,no,no,no
Block3,B3_Backup_Fam_C,BE B3 2/17 | G1  Med3,Med3,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0169,NA,NA,NA,99.8,NA,NA,100,NA,NA,no,no,no
Block3,B3_Backup_Fam_D,BE B3 2/17 | G1  Med4,Med4,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0170,NA,NA,NA,97.9,NA,NA,100,NA,NA,no,no,no
Block3,B3_Backup_Fam_E,BE B3 2/17 | G1  Med5,Med5,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0171,NA,NA,NA,103.5,NA,NA,100,NA,NA,no,yes,yes
Block3,B3_Backup_Fam_F,BE B3 2/17 | G1  Med6,Med6,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0172,NA,NA,NA,93.1,NA,NA,100,NA,NA,no,no,no
Block3,B3_Backup_Fam_G,BE B3 2/17 | G1  Med7,Med7,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0173,NA,NA,NA,95.4,NA,NA,100,NA,NA,no,no,no
Block3,B3_Backup_Fam_H,BE B3 2/17 | G1  Med8,Med8,Med,0,1,2/17/21,2/17/21,2/18/21,DSC_0174,NA,NA,NA,94.5,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High13,High13,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0415,NA,NA,NA,108.0,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High14,High14,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0416,NA,NA,NA,107.5,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High15,High15,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0417,NA,NA,NA,104.7,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High16,High16,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0418,NA,NA,NA,99.1,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High17,High17,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0419,NA,NA,NA,98.4,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High18,High18,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0421,NA,NA,NA,97.0,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High19,High19,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0422,NA,NA,NA,101.8,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High20,High20,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0423,NA,NA,NA,95.1,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High21,High21,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0424,NA,NA,NA,101.0,NA,NA,100,NA,NA,no,no,no
Block4,B4_All_Red_Mix ,BE B4 2/24 | G1  High22,High22,High,0,1,2/24/21,2/24/21,2/25/21,DSC_0426,NA,NA,NA,92.2,NA,NA,100,NA,NA,no,no,no
