Population,Block,He_remain
Low1,Block4,0.545604109
Low10,Block3,0.541168877
Low11,Block3,0.537509001
Low12,Block3,0.548732513
Low13,Block4,0.554686535
Low14,Block4,0.550735913
Low15,Block4,0.55324703
Low16,Block4,0.554429942
Low17,Block4,0.507188129
Low18,Block4,0.498781591
Low19,Block4,0.55413799
Low2,Block4,0.544894736
Low20,Block4,0.528458106
Low21,Block4,0.552928247
Low22,Block4,0.543530179
Low23,Block4,0.551292036
Low24,Block4,0.547641677
Low25,Block4,0.54306459
Low26,Block5,0.550929384
Low27,Block5,0.536799769
Low28,Block5,0.538658466
Low29,Block5,0.543140234
Low3,Block4,0.546006694
Low30,Block5,0.554044436
Low31,Block2,0.553277524
Low32,Block2,0.552888023
Low33,Block2,0.552333272
Low34,Block2,0.546311434
Low35,Block2,0.554211856
Low36,Block2,0.542737053
Low4,Block4,0.548920485
Low5,Block4,0.541977399
Low6,Block4,0.545564433
Low7,Block3,0.551854452
Low8,Block3,0.554120078
Low9,Block3,0.527465036
Med1,Block3,0.659633405
Med10,Block4,0.675427157
Med11,Block4,0.680381037
Med12,Block4,0.683193496
Med13,Block4,0.680772794
Med14,Block4,0.680233116
Med15,Block4,0.662037433
Med16,Block4,0.678961937
Med17,Block5,0.682550948
Med18,Block5,0.68279423
Med19,Block5,0.682729824
Med2,Block3,0.679908182
Med20,Block5,0.681965031
Med21,Block5,0.68040746
Med22,Block5,0.680916769
Med23,Block5,0.676880029
Med24,Block5,0.680203481
Med3,Block3,0.681956058
Med4,Block3,0.682698941
Med5,Block3,0.680706509
Med6,Block3,0.681904444
Med7,Block3,0.680086253
Med8,Block3,0.682035564
Med9,Block4,0.680443127
High1,Block3,0.99860084
High2,Block3,0.99860084
High3,Block3,0.99860084
High4,Block3,0.99860084
High5,Block3,0.99860084
High6,Block3,0.99860084
High7,Block3,0.99860084
High8,Block3,0.99860084
High9,Block3,0.99860084
High10,Block3,0.99860084
High11,Block3,0.99860084
High12,Block3,0.99860084
High13,Block4,0.99860084
High14,Block4,0.99860084
High15,Block4,0.99860084
High16,Block4,0.99860084
High17,Block4,0.99860084
High18,Block4,0.99860084
High19,Block4,0.99860084
High20,Block4,0.99860084
High21,Block4,0.99860084
High22,Block4,0.99860084
High23,Block4,0.99860084
High24,Block4,0.99860084
High25,Block5,0.99860084
High26,Block5,0.99860084
High27,Block5,0.99860084
High28,Block5,0.99860084
High29,Block5,0.99860084
High30,Block5,0.99860084
High31,Block5,0.99860084
High32,Block5,0.99860084
High33,Block5,0.99860084
High34,Block5,0.99860084
High35,Block5,0.99860084
High36,Block5,0.99860084
